engine,document,avg_confidence,processing_time_sec
easyocr,SC1010_s01_ss01_b01_f01_1906-06-29,0.564,62.16
easyocr,SC1010_s01_ss01_b01_f01_1906-09-28,0.666,82.51
easyocr,SC1010_s01_ss01_b01_f01_1906-11-30,0.825,65.57
easyocr,SC1010_s01_ss01_b01_f01_1907-05-31,0.735,77.85
easyocr,SC1010_s01_ss01_b01_f01_1907-06-28,0.731,48.89
easyocr,SC1010_s01_ss01_b01_f01_1908-01-10,0.609,81.57
easyocr,SC1010_s01_ss01_b01_f01_1908-05-25,0.724,139.6
easyocr,SC1010_s01_ss01_b01_f01_1908-05-29,0.739,168.92
easyocr,SC1010_s01_ss01_b01_f01_1908-06-28,0.502,114.9
easyocr,SC1010_s01_ss01_b01_f01_1908-09-23,0.696,29.83
easyocr,SC1010_s01_ss01_b01_f01_1908-10-26,0.747,263.75
easyocr,SC1010_s01_ss01_b01_f01_1908-10-30,0.334,189.96
easyocr,SC1010_s01_ss01_b01_f01_1908-11-30,0.404,27.22
easyocr,SC1010_s01_ss01_b01_f01_1908-12-18,0.373,166.24
easyocr,SC1010_s01_ss01_b01_f02_1906-05-25,0.698,28.95
easyocr,SC1010_s01_ss01_b01_f02_1907-10-04,0.763,120.06
easyocr,SC1010_s01_ss01_b01_f02_1908-04-20,0.716,77.73
easyocr,SC1010_s01_ss01_b02_f01_1955-01,0.823,56.14
easyocr,SC1010_s01_ss01_b02_f06_1955-09,0.805,83.75
easyocr,SC1010_s01_ss01_b02_f13_1956-06,0.797,177.25
easyocr,SC1010_s01_ss01_b02_f19_1956-10,0.808,178.21
easyocr,SC1010_s01_ss01_b03_f09-1958-09,0.823,350.42
easyocr,SC1010_s01_ss01_b03_f18_1959-06,0.801,269.53
easyocr,SC1010_s01_ss01_b04_f04_1959-12,0.797,302.74
easyocr,SC1010_s01_ss01_b06_f02_1961-05,0.844,270.02
